Date,C36159_BSICG,C36159_BSICT,C36159_DOZ,C36159_FOR10K,C36159_MDLNSAH,C36159_MDLSAAH,C36159_MLNSAH,C36159_MLSAAH,C36159_MTURN,C36159_NMLNSAH,C36159_NMLSAAH,C36159_SC,C36159_SCBT,C36159_SCMT,C36159_SCSA,C36159_SCSABT,C36159_SCSAMT,C36159_SCSATT,C36159_SCTT,C36159_SP,C36159_SPBT,C36159_SPFS,C36159_SPMT,C36159_SPTT,C36159_STLR
10/31/2011,7.19,1.98,83,6.55,,,,,0.0068,,,2821,1206,648,3000,1320,646,435,411,91000,57900,0.1439,130300,279100,0.959764591
11/30/2011,6.88,2.26,82,6.79,,,,,0.0066,,,2703,1107,563,3041,1248,685,491,431,94500,58300,0.1088,132200,286100,0.95943098
12/31/2011,6.88,2.83,85,8.03,,,,,0.0067,,,2822,1173,658,3060,1247,721,491,446,96800,56200,0.1042,133600,290400,0.95755464
1/31/2012,7.19,3.77,90.5,8.27,,,,,0.0059,,,3180,1802,542,3447,1540,767,528,368,91500,51200,0.0858,135300,294900,0.96260567
2/29/2012,7.19,4.81,99,5.56,,,,,0.0061,,,3347,1932,619,3618,1814,754,512,443,85800,46200,0.089,135200,297000,0.964705882
3/31/2012,7.5,5.94,83,7.25,,,,,0.0071,,,3830,2104,768,3783,2037,749,517,547,81200,43500,0.0731,135200,296700,0.972667114
4/30/2012,7.5,6.51,78,4.79,,,,,0.0069,,,3646,1887,721,3588,1941,696,513,567,84700,43100,0.0661,135100,306800,0.978865406
5/31/2012,7.19,6.98,81,6.62,,,,,0.0076,,,3964,1829,811,3483,1816,672,554,807,93300,43600,0.056,135500,322400,1
6/30/2012,7.81,7.26,78,5.34,,,,,0.0074,,,3963,1960,808,3442,1749,660,583,706,97100,43800,0.0487,139100,334100,1
7/31/2012,8.12,7.36,76,6.09,,,,,0.0071,,,3853,1951,799,3507,1766,683,622,690,101800,44900,0.0449,142400,339600,0.992138203
8/31/2012,8.12,7.55,76,6.94,,,,,0.0081,,,4204,1990,884,3630,1833,727,649,814,104300,46500,0.0376,145100,346300,1
9/30/2012,7.81,8.02,77,5.63,,,,,0.0061,,,3389,1787,676,3635,1857,726,639,512,106600,48200,0.0466,145500,348000,0.986622074
10/31/2012,7.5,8.4,73,5.44,,,,,0.007,,,3729,1755,757,3680,1829,749,659,689,111500,50800,0.0507,147600,357800,0.995353467
11/30/2012,7.19,8.21,83,4.01,,,,,0.0064,,,3398,1603,703,3774,1798,806,713,668,115700,52600,0.0403,151600,348800,0.981538462
12/31/2012,8.12,7.74,86,3.99,,,,,0.0066,,,3486,1682,658,3885,1803,823,753,624,119900,54000,0.0473,153900,365000,0.975
1/31/2013,8.12,6.79,88,4.33,4176,4224,6215,6113,0.006,1938,1868,3229,1575,597,3990,1822,859,788,557,122600,55600,0.0511,154700,368300,0.973076923
2/28/2013,7.81,6.6,90,3.7,4118,4127,5702,5842,0.0057,1855,1829,3246,1714,646,3840,1834,792,704,539,120800,56800,0.0385,155800,369400,0.966520833
3/31/2013,7.81,7.17,86,3.43,4221,4097,5857,5702,0.0071,1993,1753,3909,1947,783,3789,1823,791,669,628,122600,55700,0.0356,159500,352000,0.974499089
4/30/2013,7.19,7.64,78,3.87,4150,4099,6177,5868,0.0075,1893,1771,3979,1844,853,3678,1801,750,616,702,123500,54500,0.0374,164400,344600,0.97571385
5/31/2013,7.5,8.68,62,2.39,4160,4119,6430,6051,0.0081,2175,1900,4321,1969,959,3716,1796,756,652,928,129300,53900,0.0349,167700,353400,0.980980981
6/30/2013,7.5,9.25,63,2.35,4182,4241,6038,6154,0.0069,1951,2005,3865,1868,873,3622,1750,758,661,722,133800,55100,0.0272,169900,360000,0.980650868
