,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
Code,C36159_BSICG,C36159_BSICT,C36159_DOZ,C36159_FOR10K,C36159_MDLNSAH,C36159_MDLSAAH,C36159_MLNSAH,C36159_MLSAAH,C36159_MTURN,C36159_NMLNSAH,C36159_NMLSAAH,C36159_SC,C36159_SCBT,C36159_SCMT,C36159_SCSA,C36159_SCSABT,C36159_SCSAMT,C36159_SCSATT,C36159_SCTT,C36159_SP,C36159_SPBT,C36159_SPFS,C36159_SPMT,C36159_SPTT,C36159_STLR
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-30,5.94,8.58,60.0,,5372.0,5130.0,6737.0,6883.0,,1790.0,2021.0,3066.0,1429.0,763.0,3403.0,1507.0,929.0,717.0,654.0,223700.0,153800.0,0.0046,261800.0,480700.0,0.97332852679644
2018-12-31,5.94,8.77,63.0,,5110.0,5257.0,6376.0,7008.0,,1263.0,1997.0,2941.0,1403.0,762.0,3441.0,1530.0,940.0,721.0,553.0,224200.0,150400.0,0.0061,262000.0,483200.0,0.97260156177373
2019-01-31,5.62,8.3,75.0,,5232.0,5418.0,7329.0,7304.0,,2296.0,2080.0,2590.0,1230.0,635.0,3392.0,1521.0,943.0,737.0,516.0,227000.0,147000.0,0.0054,265200.0,475400.0,0.96935584740463
2019-02-28,5.94,7.92,72.0,,5656.0,5529.0,7333.0,7360.0,,2051.0,2059.0,2907.0,1374.0,785.0,3248.0,1478.0,904.0,662.0,546.0,227900.0,147800.0,0.0041,265600.0,468400.0,0.97033898305085
2019-03-31,6.25,7.08,61.0,,5666.0,5553.0,7610.0,7307.0,,2299.0,1956.0,3676.0,1624.0,914.0,3322.0,1468.0,906.0,713.0,830.0,232300.0,151800.0,0.0035,268400.0,477400.0,0.97495183044316
2019-04-30,6.56,6.89,61.0,,5673.0,5441.0,7621.0,7318.0,,2028.0,1881.0,4019.0,1670.0,1157.0,3489.0,1525.0,936.0,723.0,845.0,233100.0,156400.0,0.0015,270300.0,485100.0,0.97530663454041
2019-05-31,5.94,7.45,57.0,,5272.0,5181.0,7809.0,7186.0,,2124.0,1846.0,4320.0,1704.0,1288.0,3656.0,1559.0,977.0,782.0,1024.0,235200.0,155900.0,0.0039,271000.0,489400.0,0.97999599839936
2019-06-30,5.94,8.49,59.0,,4923.0,4928.0,6743.0,6865.0,,1798.0,1854.0,3940.0,1576.0,1219.0,3656.0,1526.0,1035.0,768.0,862.0,236900.0,156700.0,0.003,271500.0,489900.0,0.9798183447377
2019-07-31,5.94,9.34,59.0,,4588.0,4714.0,6582.0,6523.0,,1949.0,1894.0,3942.0,1700.0,1196.0,3633.0,1533.0,1045.0,760.0,809.0,237600.0,157300.0,0.0025,270800.0,485300.0,0.98004900245012
2019-08-31,5.62,10.0,,,4217.0,4543.0,5833.0,6223.0,,1851.0,1878.0,3852.0,1629.0,1116.0,3543.0,1525.0,1028.0,708.0,748.0,235700.0,154800.0,0.0021,270000.0,477500.0,
